,Company,StockSymbol,Fri Sep 23 10:42:00 2016,Fri Sep 23 10:42:13 2016,Fri Sep 23 10:42:28 2016
98,Karur Vysya Bank Limited,590003,479.10,479.10,479.10
99,Kingfisher Airlines Ltd,532747,1.36,1.36,1.36
100,Kotak Mahindra Bank Ltd,KOTAKBANK,799.00,799.00,799.00
101,Koutons Retail India Ltd.,532901,2.35,2.35,2.35
102,Lakshmi Vilas Bank Ltd.,534690,160.50,160.50,160.50
103,Larsen & Toubro Limited,500510,"1,496.50","1,495.00","1,494.85"
104,LIC Housing Finance Limited,500253,577.30,577.30,577.65
105,Lotus Eye Hospital and Institute Ltd,532998,19.85,19.85,19.85
106,Marico Limited,531642,287.00,287.00,287.10
107,Maruti Suzuki India Ltd,MARUTI,"5,606.85","5,607.90","5,607.20"
108,MindTree Ltd,532819,510.00,510.00,510.00
109,Mirza International Ltd.,526642,94.00,94.00,94.00
110,Moser Baer India Limited,517140,8.33,8.33,8.33
111,MRF Limited,MRF,7.59,7.59,7.59
112,Noesis Industries Ltd,530435,0.38,0.38,0.38
113,Nestle India Limited,500790,"6,500.00","6,500.00","6,500.00"
114,New Delhi Television Limited,NDTV,89.10,89.10,89.10
115,Neyveli Lignite Corporation Limited,513683,74.15,74.15,74.15
116,NIIT Limited,500304,99.45,99.45,99.45
117,NIIT Technologies Ltd.,532541,426.00,426.00,426.00
118,Nilkamal Ltd.,523385,"1,359.75","1,359.75","1,359.75"
119,Nirma Limited,600308,4.98,4.98,4.98
120,OnMobile Global Limited,532944,105.80,105.80,105.80
121,Ontrack Systems Ltd,532607,1.47,1.47,1.47
122,Orchid Pharma Ltd,524372,38.95,38.95,38.95
123,Future Enterprises Ltd,523574,15.80,15.80,15.80
124,Future Enterprises Ltd,FEL,15.80,15.80,15.80
125,Premier Limited,500540,36.35,36.35,36.35
126,Prime Focus Limited,532748,70.05,70.05,70.05
127,Prism Cement Limited,500338,108.20,108.20,108.20
128,Pritish Nandy Communications Ltd,532387,18.50,18.50,18.50
129,Punjab National Bank,532461,139.90,139.90,139.90
130,Radaan Mediaworks India Ltd,590070,1.84,1.84,1.84
131,Raj Television Network Limited,532826,63.55,63.55,63.55
132,Ranbaxy Laboratories Limited,500359,859.90,859.90,859.90
133,Ravalgaon Sugar Farm Ltd,507300,"5,020.00","5,020.00","5,020.00"
134,Raymond Limited (Parent),500330,537.50,537.50,537.50
135,Reliance Communications Ltd,532712,48.50,48.50,48.60
136,Reliance Infrastructure Ltd,500390,615.10,615.10,614.55
137,Sahara One Media & Entertainment Ltd.,503691,77.10,77.10,77.10
138,Sakthi Sugars Ltd.,507315,41.25,41.25,41.25
139,Satyam Computer Services Limited,500376,115.30,115.30,115.30
140,Scooters India Ltd,505141,41.70,41.70,41.70
141,Shoppers Stop Limited,532638,377.40,377.40,377.40
142,Shree Renuka Sugars Limited,532670,16.85,16.85,16.85
143,Shrenuj & Company Ltd.,523236,2.18,2.18,2.18
144,Siemens Ltd,SIEMENS,"1,276.00","1,274.80","1,275.05"
145,Simplex Papers Ltd,533019,2.16,2.16,2.16
146,SML Isuzu Ltd,505192,"1,295.00","1,295.00","1,295.00"
147,SpiceJet Limited,500285,62.50,62.50,62.40
148,Sree Sakthi Paper Mills Limited,532701,8.24,8.24,8.24
149,State Bank of India,500112,256.50,256.50,256.40
150,State Bank of Mysore,532200,531.20,531.20,531.20
151,State Bank Of Travancore,532191,534.50,534.50,534.50
152,Sterling Biotech Limited,512299,4.15,4.15,4.15
153,Sun Pharma Advanced Research Company,532872,343.60,343.60,343.60
154,Sun Pharmaceutical Industries Limited,SUNPHARMA,787.50,787.50,787.55
155,Sun TV Network Ltd.,SUNTV,500.60,500.60,500.60
156,Suzlon Energy Ltd,SUZLON,16.10,16.10,16.05
157,Syndicate Bank Ltd.,532276,75.65,75.65,75.65
158,Synergy Cosmetics Exim Ltd,531115,0.50,0.50,0.50
159,Taj GVK Hotels & Resorts Limited,532390,129.80,129.80,129.80
160,Tata Coffee Ltd.,TATACOFFEE,127.55,127.55,127.70
161,Tata Consultancy Services Limited,532540,"2,394.50","2,394.50","2,395.00"
162,Tata Elxsi Limited,500408,"1,542.80","1,541.55","1,543.95"
163,Tata Global Beverages Ltd,500800,139.15,139.25,139.25
164,Tata Motors Limited,500570,554.00,554.00,554.00
165,Tata Power Company Limited,500400,75.70,75.70,75.70
166,Tata Steel Limited,500470,373.90,373.90,374.10
167,Tata Teleservices (Maharashtra) Limited,532371,5.84,5.84,5.84
168,Tech Mahindra Ltd,532755,455.00,455.00,455.00
169,Indian Hotels Company Ltd,500850,129.35,129.35,129.35
170,Thermax Ltd,500411,874.95,873.75,873.75
171,Timex Group India Ltd,500414,44.25,44.25,44.25
172,Tips Industries Limited,532375,57.60,57.60,57.60
