Name,Symbol
GOLDMAN SACHS GOLD GOLD EXCH TRAD-GOLD BEES,GOLDBEES
MMTC Ltd,513377
Reliance Industries Limited,500325
Sonata Software Limited (Parent),532221
Bharti Infratel Ltd,534816
Tata Communications Limited,500483
L&T Finance Holdings Ltd,533519
Mahanagar Telephone Nigam Ltd,500108
Oil & Natural Gas Corporation Limited,500312
TV18 Broadcast Ltd,532800
JK Tyre & Industries Ltd.,530007
Mphasis Ltd.,526299
Bajaj Corp Limited,533229
IMP Powers Ltd,517571
Firstsource Solutions Ltd,532809
Reliance Power Limited,532939
NCC Ltd,500294
Network 18 Media & Investments Ltd,532798
Piramal Enterprises Ltd,500302
